Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
,,,,Setup: Choose an unused Kingdom card pile costing or .,,,,,,,,,
,,,,Gain one when you gain a Ferryman.,,,,,,,,,
Footpad ,"Cornucopia & Guilds, 2E ",Action - Attack,,+2 Coffers,,N... **+X,,+,,,,,
,,,,Each other player discards down to 3 cards in hand.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"In games using this, when you gain a card in an Action phase, +1 Card.",,,,,,,,,
Joust ,"Cornucopia & Guilds, 2E ",Action,,+1 Card,1,"+1, !+1",,+,,,, !1,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,You may set aside a Province from your hand to gain any Reward to your hand. Discard the Province in Clean-up.,,,,,,,,,
Coronet ,"Cornucopia & Guilds, 2E ",Action - Treasure - Reward,,You may play a non-Reward Action from your hand twice.,P2?,,,P2?,,,,,
,,,,You may play a non-Reward Treasure from your hand twice.,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Courser ,"Cornucopia & Guilds, 2E ",Action - Reward,,Choose two different options: +2 Cards; +2 Actions; +; gain 4 Silvers.,+2?,+2?,,+?,,,,4?,
,,,,(This is not in the Supply.),,,,,,,,,
Demesne ,"Cornucopia & Guilds, 2E ",Action - Victory - Reward,,+2 Actions,2,,2,,,,,1,X   
,,,,+2 Buys,,,,,,,,,
,,,,Gain a Gold.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Worth 1   per Gold you have.,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Housecarl ,"Cornucopia & Guilds, 2E ",Action - Reward,,+1 Card per differently named Action card you have in play.,,+X,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Huge Turnip ,"Cornucopia & Guilds, 2E ",Treasure - Reward,,+2 Coffers,,,,"+, +",,,,,
,,,,+ per Coffers you have.,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Renown ,"Cornucopia & Guilds, 2E ",Action - Reward,,+1 Buy,,,1,R2,,,,,
,,,,"This turn, cards cost less.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Coin of the Realm ,Adventures ,Treasure - Reserve,,,C+2,,,+,,,,,
,,,,"When you play this, put it on your Tavern mat.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Directly after you finish playing an Action card, you may call this, for +2 Actions.",,,,,,,,,
Page ,Adventures ,Action - Traveller,,+1 Card,1,1,,,Self?,,,,
,,,,+1 Action,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Treasure Hunter.",,,,,,,,,
Peasant ,Adventures ,Action - Traveller,,+1 Buy,,,1,+,Self?,,,,
,,,,+,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Soldier.",,,,,,,,,
Ratcatcher ,Adventures ,Action - Reserve,,+1 Card,1,1,,,C1,,,,
,,,,+1 Action,,,,,,,,,
,,,,Put this on your Tavern mat.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the start of your turn, you may call this, to trash a card from your hand.",,,,,,,,,
Raze ,Adventures ,Action,,+1 Action,1, !+1,,,1 or Self?,,,,
,,,,Trash this or a card from your hand. Look at one card from the top of your deck per the trashed card costs. Put one of them into your hand and discard the rest.,,,,,,,,,
Amulet ,Adventures ,Action - Duration,,"Now and at the start of your next turn, choose one: +; or trash a card from your hand; or gain a Silver.",,,,"+?, N +?","1?, N 1?",,,"1?, N 1?",
Caravan Guard ,Adventures ,Action - Duration - Reaction,,+1 Card,1,1,,N +,,,,,
,,,,+1 Action,**Pself,,,,,,,,
,,,,"At the start of your next turn, +.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may first play this from your hand.",,,,,,,,,
Dungeon ,Adventures ,Action - Duration,,+1 Action,1,"+2, -2, N +2, N -2",,,,,,,
,,,,"Now and at the start of your next turn: +2 Cards, then discard 2 cards.",,,,,,,,,
Gear ,Adventures ,Action - Duration,,+2 Cards,,"+2, - 0-2?(X), N +X",,,,,,,
,,,,"Set aside up to 2 cards from your hand face down (under this). At the start of your next turn, put them into your hand.",,,,,,,,,
Guide ,Adventures ,Action - Reserve,,+1 Card,1,"+1, C-X?, !+5",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Put this on your Tavern mat.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the start of your turn, you may call this, to discard your hand and draw 5 cards.",,,,,,,,,
Duplicate ,Adventures ,Action - Reserve,,Put this on your Tavern mat.,,,,,,,,C1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain a card costing up to , you may call this, to gain a copy of that card.",,,,,,,,,
Magpie ,Adventures ,Action,,+1 Card,1,"+1, !+1",,,,,, !1,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck. If it's a Treasure, put it into your hand. If it's an Action or Victory card, gain a Magpie.",,,,,,,,,
Messenger ,Adventures ,Action,,+1 Buy,,,1,+,,,, !1,
,,,,+,,,,,,,,,
,,,,You may put your deck into your discard pile.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When this is the first card you gain in your Buy phase, gain a card costing up to , and each other player gains a copy of it.",,,,,,,,,
Miser ,Adventures ,Action,,Choose one: Put a Copper from your hand onto your Tavern mat; or + per Copper on your Tavern mat.,,,,+?,1?,,,,
Port ,Adventures ,Action,,+1 Card,2,1,,,,,,*1,
,,,,+2 Actions,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, gain another Port (that doesn't come with another).",,,,,,,,,
Ranger ,Adventures ,Action,,+1 Buy,, !+5,1,,,,,,
,,,,"Turn your Journey token over (it starts face up). Then if it's face up, +5 Cards.",,,,,,,,,
Transmogrify ,Adventures ,Action - Reserve,,+1 Action,1,C(+1),,,C1,,,C1,
,,,,Put this on your Tavern mat.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the start of your turn, you may call this, to trash a card from your hand, and gain a card to your hand costing up to more than it.",,,,,,,,,
Artificer ,Adventures ,Action,,+1 Card,1,"+1, -X",,+,,,,1?,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,Discard any number of cards. You may gain a card onto your deck costing exactly per card discarded.,,,,,,,,,
Bridge Troll ,Adventures ,Action - Attack - Duration,,"Each other player takes their – token. On this turn and your next turn, cards cost less.",,,"+1, N +1","R1, N R1",,,,,
,,,,Now and at the start of your next turn: +1 Buy.,,,,,,,,,
Distant Lands ,Adventures ,Action - Reserve - Victory,,Put this on your Tavern mat.,,,,,,,,, !4   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Worth 4   if on your Tavern mat at the end of the game (otherwise worth 0  ). ,,,,,,,,,
Giant ,Adventures ,Action - Attack,,"Turn your Journey token over (it starts face up). Then if it's face down, +. If it's face up, +, and each other player reveals the top card of his deck, trashes it if it costs from to , and otherwise discards it and gains a Curse.",,,,"+, !+",,, !1,,
Haunted Woods ,Adventures ,Action - Attack - Duration,,At the start of your next turn: +3 Cards.,,N +3,,,,,,,
,,,,,,,,,,,,,
,,,,"Until then, when any other player gains a card they bought, they put their hand onto their deck in any order.",,,,,,,,,
Lost City ,Adventures ,Action,,+2 Cards,2,2,,,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, each other player draws a card.",,,,,,,,,
Relic ,Adventures ,Treasure - Attack,,,,,,+,,,,,
,,,,"When you play this, each other player puts their –1 Card token on their deck.",,,,,,,,,
Royal Carriage ,Adventures ,Action - Reserve,,+1 Action,1,,,,,,,,
,,,,Put this on your Tavern mat.,C P1,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Directly after you finish playing an Action card, if it's still in play, you may call this, to replay that Action.",,,,,,,,,
Storyteller ,Adventures ,Action,,+1 Action,1,"+1, +X",,-,,,,,
,,,,"Play up to 3 Treasures from your hand. Then +1 Card, and pay all of your and +1 Card per you paid.",,,,,,,,,
Swamp Hag ,Adventures ,Action - Attack - Duration,,At the start of your next turn +.,,,,N +,,, !1,,
,,,,,,,,,,,,,
,,,,"Until then, when any other player gains a card they bought, they gain a Curse.",,,,,,,,,
Treasure Trove ,Adventures ,Treasure,,,,,,+,,,Self,2,
,,,,"When you play this, gain a Gold and a Copper.",,,,,,,,,
Wine Merchant ,Adventures ,Action - Reserve,,+,,,1,"+, C-?",,,,,
,,,,+1 Buy,,,,,,,,,
,,,,Put this on your Tavern mat.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the end of your Buy phase, if you have at least unspent, you may discard this from your Tavern mat.",,,,,,,,,
Hireling ,Adventures ,Action - Duration,,At the start of each of your turns for the rest of the game: +1 Card,,N... +1,,,,,,,
Alms ,Adventures ,Event,,"Once per turn: If you have no Treasures in play, gain a card costing up to .",,,,,,,, !1,
Borrow ,Adventures ,Event,,"Once per turn: +1 Buy. If your –1 Card token isn't on your deck, put it there and +.",,(N -1),1, !+,,,,,
Quest ,Adventures ,Event,,"You may discard an Attack, two Curses, or six cards. If you do, gain a Gold.",,-X,,,,,, !1,
Save ,Adventures ,Event,,"Once per turn: +1 Buy. Set aside a card from your hand, and put it into your hand at end of turn (after drawing).",,"-1, (N +1)",1,,,,,,
Scouting Party ,Adventures ,Event,,+1 Buy,,,1,,,,,,
,,,,Look at the top 5 cards of your deck. Discard 3 and put the rest back in any order.,,,,,,,,,
Travelling Fair ,Adventures ,Event,,+2 Buys,,,2,,,,,,
,,,,"When you gain a card this turn, you may put it onto your deck.",,,,,,,,,
Bonfire ,Adventures ,Event,,Trash up to 2 Coppers you have in play.,,,,,0-2?,,,,
Expedition ,Adventures ,Event,,Draw 2 extra cards for your next hand.,,(N +2),,,,,,,
Ferry ,Adventures ,Event,,"Move your – cost token to an Action Supply pile. (Cards from that pile cost less on your turns, but not less than .)",,,,**R2,,,,,
Plan ,Adventures ,Event,,"Move your Trashing token to an Action Supply pile. (When you gain a card from that pile, you may trash a card from your hand.)",,,,,**1?,,,,
Mission ,Adventures ,Event,,"Once per turn: If the previous turn wasn't yours, take another turn after this one, during which you can't buy cards.",,,,,,,,,
Pilgrimage ,Adventures ,Event,,"Once per turn: Turn your Journey token over (it starts face up); then if it's face up, choose up to 3 differently named cards you have in play and gain a copy of each.",,,,,,,, !0-3?,
Ball ,Adventures ,Event,,Take your – token. Gain 2 cards each costing up to .,,,,-,,,,2,
Raid ,Adventures ,Event,,Gain a Silver per Silver you have in play. Each other player puts their –1 Card token on their deck.,,,,,,,,X,
Seaway ,Adventures ,Event,,"Gain an Action card costing up to . Move your +1 Buy token to its pile. (When you play a card from that pile, you first get +1 Buy.)",,,**+1,,,,,1,
Trade ,Adventures ,Event,,Trash up to 2 cards from your hand. Gain a Silver per card you trashed.,,,,,0-2?,,, !0-2,
Lost Arts ,Adventures ,Event,,"Move your +1 Action token to an Action Supply pile. (When you play a card from that pile, you first get +1 Action.)",**+1,,,,,,,,
Training ,Adventures ,Event,,"Move your + token to an Action Supply pile. (When you play a card from that pile, you first get +.)",,,,**+,,,,,
Inheritance ,Adventures ,Event,,"Once per game: Set aside a non-Command Action card from the Supply costing up to . Move your Estate token to it. (During your turns, Estates are also Command Actions with ""Play the card with your Estate token, leaving it there."")",(P1),,,,,,,,
Pathfinding ,Adventures ,Event,,"Move your +1 Card token to an Action Supply pile. (When you play a card from that pile, you first get +1 Card.)",,**+1,,,,,,,
Soldier ,Adventures ,Action - Attack - Traveller,,+,,,,"+, +",Self?,,,,
,,,,+ per other Attack you have in play. Each other player with 4 or more cards in hand discards a card.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Fugitive.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Fugitive ,Adventures ,Action - Traveller,,+2 Cards,1,"+2, -1",,,Self?,,,,
,,,,+1 Action,,,,,,,,,
,,,,Discard a card.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Disciple.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Disciple ,Adventures ,Action - Traveller,,You may play an Action card from your hand twice. Gain a copy of it.,P2?,,,,Self?,,, !1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Teacher.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Teacher ,Adventures ,Action - Reserve,,Put this on your Tavern mat.,C**+1?,C**+1?,C**+1?,C**+?,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the start of your turn, you may call this, to move your +1 Card, +1 Action, +1 Buy, or + token to an Action Supply pile you have no tokens on. (When you play a card from that pile, you first get that bonus.)",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Treasure Hunter ,Adventures ,Action - Traveller,,+1 Action,1,,,+,Self?,,,X,
,,,,+,,,,,,,,,
,,,,Gain a Silver per card the player to your right gained on their last turn.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Warrior.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Warrior ,Adventures ,Action - Attack - Traveller,,+2 Cards,,2,,,Self?,,,,
,,,,"Once per Traveller you have in play (including this), each other player discards the top card of their deck and trashes it if it costs or .",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Hero.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Hero ,Adventures ,Action - Traveller,,+,,,,+,Self?,,,1,
,,,,Gain a Treasure.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, you may exchange it for a Champion.",,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Champion ,Adventures ,Action - Duration,,+1 Action,"+1, **+X",,,,,,,,
,,,,"For the rest of the game, when another player plays an Attack, it doesn't affect you, and when you play an Action card, you first get +1 Action.",,,,,,,,,
,,,,,,,,,,,,,
,,,,(This is not in the Supply.),,,,,,,,,
Engineer ,Empires ,Action,  ,"Gain a card costing up to . You may trash this. If you do, gain a card costing up to .",,,,,Self?,,,"1, !1",
City Quarter ,Empires ,Action,  ,+2 Actions,2,+X,,,,,,,
,,,,Reveal your hand. +1 Card per Action card revealed.,,,,,,,,,
Royal Blacksmith ,Empires ,Action,  ,+5 Cards,,"+5, -X",,,,,,,
,,,,Reveal your hand; discard the Coppers.,,,,,,,,,
Overlord ,Empires ,Action - Command,  ,"Play a non-Command Action card from the Supply costing up to , leaving it there.",(P1),,,,,,,,
Encampment ,Empires ,Action,,+2 Cards,2,2,,, !Self,,,,
,,,,+2 Actions,,,,,,,,,
,,,,"You may reveal a Gold or Plunder from your hand. If you do not, set this aside, and return it to its pile at the start of Clean-up.",,,,,,,,,
Patrician ,Empires ,Action,,+1 Card,1,"+1, !+1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck. If it costs or more, put it into your hand.",,,,,,,,,
Settlers ,Empires ,Action,,+1 Card,1,"+1, +1?",,(+)?,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Look through your discard pile. You may reveal a Copper from it and put it into your hand.,,,,,,,,,
Catapult ,Empires ,Action - Attack,,+,,,,+,1,, !1,,
,,,,"Trash a card from your hand. If it costs or more, each other player gains a Curse. If it's a Treasure, each other player discards down to 3 cards in hand.",,,,,,,,,
Chariot Race ,Empires ,Action,,+1 Action,1,1,, !+,,,,, !+1   
,,,,"Reveal the top card of your deck and put it into your hand. The player to your left reveals the top card of their deck. If your card costs more, + and +1  . ",,,,,,,,,
Enchantress ,Empires ,Action - Attack - Duration,,"Until your next turn, the first time each other player plays an Action card on their turn, they get +1 Card and +1 Action instead of following its instructions.",,N +2,,,,,,,
,,,,"At the start of your next turn, +2 Cards.",,,,,,,,,
Farmers' Market ,Empires ,Action - Gathering,,+1 Buy,,,1, !+ -, !Self,,,, !+4   
,,,,"If there are 4   or more on the Farmers' Market pile, take them and trash this. Otherwise, add 1   to the pile and then + per 1   on the pile. ",,,,,,,,,
Gladiator ,Empires ,Action,,+,,,,"+, !+", !1 Supply,,,,
,,,,"Reveal a card from your hand. The player to your left may reveal a copy from their hand. If they do not, + and trash a Gladiator from the Supply.",,,,,,,,,
Rocks ,Empires ,Treasure,,"When you gain or trash this, gain a Silver; if it is your Buy phase, put the Silver on your deck, otherwise put it into your hand.",,*(+1),,+,,,,*1,
Sacrifice ,Empires ,Action,,Trash a card from your hand. If it's an..., !+2, !+2,, !+,1,,,, !+2   
,,,,"Action card, +2 Cards, +2 Actions",,,,,,,,,
,,,,"Treasure card, +",,,,,,,,,
,,,,"Victory card, +2   ",,,,,,,,,
Temple ,Empires ,Action - Gathering,,+1  ,,,,,1-3,,,,+1  
,,,,Trash from 1 to 3 differently named cards from your hand. Add 1   to the Temple pile,,,,,,,,,*+X   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, take the    from the Temple pile. ",,,,,,,,,
Villa ,Empires ,Action,,+2 Actions,2,*(+Self),1,+,,,,,
,,,,+1 Buy,*+1,,,,,,,,
,,,,+,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, put it into your hand, +1 Action, and if it's your Buy phase return to your Action phase.",,,,,,,,,
Archive ,Empires ,Action - Duration,,+1 Action,1,"+1, N +1, NN +1",,,,,,,
,,,,"Set aside the top 3 cards of your deck face down (you may look at them). Now and at the start of your next two turns, put one into your hand.",,,,,,,,,
Bustling Village ,Empires ,Action,,+1 Card,3,"+1, +1?",,,,,,,
,,,,+3 Actions,,,,,,,,,
,,,,Look through your discard pile. You may reveal a Settlers from it and put it into your hand.,,,,,,,,,
Capital ,Empires ,Treasure,,,,,1,"+, *+  ",,,,,
,,,,+1 Buy,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you discard this from play, take  , and then you may pay off   ",,,,,,,,,
Charm ,Empires ,Treasure,,"Choose one: +1 Buy and +; or the next time you gain a card this turn, you may also gain a differently named card with the same cost.",,,+1?,+?,,,,1?,
Crown ,Empires ,Action - Treasure,,"If it's your Action phase, you may play an Action from your hand twice. If it's your Buy phase, you may play a Treasure from your hand twice.", !P2?,,, !P2?,,,,,
Emporium ,Empires ,Action,,+1 Card,1,1,,+,,,,,*+2   
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, if you have at least 5 Action cards in play, +2  . ",,,,,,,,,
Forum ,Empires ,Action,,+3 Cards,1,"+3, -2",*+1,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Discard 2 cards,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, +1 Buy.",,,,,,,,,
Groundskeeper ,Empires ,Action,,+1 Card,1,1,,,,,,,+X   
,,,,+1 Action,,,,,,,,,
,,,,"This turn, when you gain a Victory card, +1  . ",,,,,,,,,
Legionary ,Empires ,Action - Attack,,+,,,,+,,,,,
,,,,"You may reveal a Gold from your hand. If you do, each other player discards down to 2 cards in hand, then draws a card.",,,,,,,,,
Plunder ,Empires ,Treasure,,,,,,+,,,,,+1   
,,,,+1   ,,,,,,,,,
Wild Hunt ,Empires ,Action - Gathering,,"Choose one: +3 Cards and add 1   to the Wild Hunt pile; or gain an Estate, and if you do, take the    from the pile. ",,+3?,,,,,,1?,"(1  ?), +X   "
Fortune ,Empires ,Treasure,  ,+1 Buy,,,1, !x2,,,,*X,
,,,,"When you play this, double your if you haven't yet this turn.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, gain a Gold per Gladiator you have in play.",,,,,,,,,
Humble Castle ,Empires ,Treasure - Victory - Castle,,Worth 1   per Castle you have. ,,,,+,,,,,X   
Crumbling Castle ,Empires ,Victory - Castle,,1  ,,,,,,,,*1,1  
,,,,,,,,,,,,,*+1   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain or trash this, +1   and gain a Silver. ",,,,,,,,,
Small Castle ,Empires ,Action - Victory - Castle,,"Trash this or a Castle from your hand. If you do, gain a Castle.",,,,,1 or Self?,,,1,"2  , (X  ) "
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,2   ,,,,,,,,,
Haunted Castle ,Empires ,Victory - Castle,,2  ,,,,,,,,*1,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this during your turn, gain a Gold, and each other player with 5 or more cards in hand puts 2 of them onto their deck.",,,,,,,,,
Opulent Castle ,Empires ,Action - Victory - Castle,,Discard any number of Victory cards. + per card discarded.,,-X,,+xX,,,,,3   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,3   ,,,,,,,,,
Sprawling Castle ,Empires ,Victory - Castle,,4  ,,,,,,,,*1 or 3,4  
,,,,,,,,,,,,,*(3  ) 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, gain a Duchy or 3 Estates.",,,,,,,,,
Grand Castle ,Empires ,Victory - Castle,,5  ,,,,,,,,,5  
,,,,,,,,,,,,,*+X   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, reveal your hand. +1   per Victory card in your hand and/or in play. ",,,,,,,,,
King's Castle ,Empires ,Victory - Castle,,Worth 2   per Castle you have. ,,,,,,,,,X   
Triumph ,Empires ,Event,  ,"Gain an Estate. If you did, +1   per card you've gained this turn. ",,,,,,,,1,"(1  ), +X   "
Annex ,Empires ,Event,  ,Look through your discard pile. Shuffle all but up to 5 cards from it into your deck. Gain a Duchy.,,,,,,,,1,(3  ) 
Donate ,Empires ,Event,  ,"At the start of your next turn, first, put your deck and discard pile into your hand, trash any number of cards from it, then shuffle the rest into your deck and draw 5 cards.",,"N -X, N +5",,,X,,,,
Advance ,Empires ,Event,,"You may trash an Action card from your hand. If you do, gain an Action card costing up to .",,,,,1?,,, !1,
Delve ,Empires ,Event,,+1 Buy,,,1,,,,,1,
,,,,Gain a Silver.,,,,,,,,,
Tax ,Empires ,Event,,Add   to a Supply pile.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Setup: Add   to each Supply pile. When a player gains a card in their Buy phase, they take the   from its pile. ",,,,,,,,,
Banquet ,Empires ,Event,,Gain 2 Coppers and a non-Victory card costing up to .,,,,,,,2Self,3,
Ritual ,Empires ,Event,,"Gain a Curse. If you do, trash a card from your hand. +1   per it cost. ",,,,,1,,Self,1,"(-1  ), +X   "
Salt the Earth ,Empires ,Event,,+1  ,,,,,1 Supply,,,,+1   
,,,,Trash a Victory card from the Supply.,,,,,,,,,
Wedding ,Empires ,Event,  ,+1  ,,,,,,,,1,+1   
,,,,Gain a Gold.,,,,,,,,,
Windfall ,Empires ,Event,,"If your deck and discard pile are empty, gain 3 Golds.",,,,,,,, !3,
Conquest ,Empires ,Event,,Gain 2 Silvers. +1   per Silver you've gained this turn. ,,,,,,,,2,+X   
Dominate ,Empires ,Event,,"Gain a Province. If you do, +9  . ",,,,,,,,1,"(6  ), !+9   "
Aqueduct ,Empires ,Landmark,,"When you gain a Treasure, move 1   from its pile to this. When you gain a Victory card, take the    from this.",,,,,,,,,+X   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 8   on the Silver and Gold piles. ,,,,,,,,,
Arena ,Empires ,Landmark,,"At the start of your Buy phase, you may discard an Action card. If you do, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Bandit Fort ,Empires ,Landmark,,"When scoring, -2   for each Silver and each Gold you have. ",,,,,,,,,-X   
Basilica ,Empires ,Landmark,,"When you gain a card in your Buy phase, if you have or more, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Battlefield ,Empires ,Landmark,,"When you gain a Victory card, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Baths ,Empires ,Landmark,,"When you end your turn without having gained a card, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Colonnade ,Empires ,Landmark,,"When you gain an Action card in your Buy phase, if you have a copy of it in play, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Defiled Shrine ,Empires ,Landmark,,"When you gain an Action, move 1   from its pile to this.",,,,,,,,,+X   
,,,,"When you gain a Curse in your Buy phase, take the    from this.",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 2   on each non-Gathering Action Supply pile. ,,,,,,,,,
Fountain ,Empires ,Landmark,,"When scoring, 15   if you have at least 10 Coppers. ",,,,,,,,, !15   
Keep ,Empires ,Landmark,,"When scoring, 5   per differently named Treasure you have, that you have more copies of than each other player, or tied for most. ",,,,,,,,,X   
Labyrinth ,Empires ,Landmark,,"When you gain a 2nd card in one of your turns, take 2   from here.",,,,,,,,,+2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Put 6   here per player. ,,,,,,,,,
Mountain Pass ,Empires ,Landmark,,"When you are the first player to gain a Province, each player bids once, up to  , ending with you. High bidder gets +8   and takes the   they bid. ",,,,,,,,, !+8   
Museum ,Empires ,Landmark,,"When scoring, 2   per differently named card you have. ",,,,,,,,,X   
Obelisk ,Empires ,Landmark,,"When scoring, 2   per card you have from the chosen pile.",,,,,,,,,X   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Choose a random Action Supply pile.,,,,,,,,,
Orchard ,Empires ,Landmark,,"When scoring, 4   per differently named Action card you have 3 or more copies of. ",,,,,,,,,X   
Palace ,Empires ,Landmark,,"When scoring, 3   per set you have of Copper - Silver - Gold. ",,,,,,,,,X   
